"symbol","report_date","speaker","title","msg","source_url"
"AMTM","2026-02-09",NA,NA,"I would now like to turn the conference over to Nathan Rutledge.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","Nathan Rutledge","Senior VP and Head of Investor Relations at Amentum","Thank you, and good morning, everyone. We hope you've had an opportunity to read our earnings release, which we issued yesterday afternoon and is posted on our investor relations website. We have also provided presentation slides to facilitate today's call, so let's move to slide two. Please note that this morning's discussion will contain forward-looking statements that are subject to important factors that could cause actual results to differ materially from anticipated. I refer you to our SEC filings for a discussion of these factors, including the risk factor section of our annual report on Form 10-K. The statements represent our views as of today, and subsequent events may cause our views to change. We may elect to update the forward-looking statements at some point in the future, but specifically disclaim any obligation to do so.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","Nathan Rutledge","Senior VP and Head of Investor Relations at Amentum","In addition, we will discuss non-GAAP financial measures, which we believe provide useful information for investors. Both our earnings release and supplemental presentation slides include reconciliations to the most comparable GAAP measures. We do not provide reconciliations of forward-looking non-GAAP financial measures due to the inherent difficulty in forecasting and quantifying certain significant items. These non-GAAP financial measures should not be considered in isolation or as a substitute for financial measures prepared in accordance with GAAP. Our safe harbor statement included on this slide should be incorporated as part of any transcript of this call. With me today to discuss our business and financial results are John Heller, Chief Executive Officer, and Travis Johnson, Chief Financial Officer. We are also joined by other members of management, including Steve Arnette, Chief Operating Officer.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","Nathan Rutledge","Senior VP and Head of Investor Relations at Amentum","With that, moving to slide three, it's my pleasure to turn the call over to our CEO, John Heller.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","Thank you, Nathan, and thank you, everyone, for joining us today. We entered the new fiscal year continuing our strong Amentum, including another robust quarter of bookings that reinforce our alignment to the high-demand mission areas of nuclear energy, space, and critical digital infrastructure. As a result, this morning I'm pleased to share another quarter of results that put Amentum on track toward achieving both our near-term fiscal year 2026 outlook and our longer-term strategic growth objectives. Our differentiated business continues to perform, and as a management team, we're setting clear priorities and expectations, and we're executing. Bottom line, Amentum continues to deliver. Let's jump right in with our quarterly results.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","While the longest government shutdown in history impacted performance in the quarter, I am especially proud of our teams around the world who remain focused, delivering exceptional outcomes for our customers and results largely in line with our expectations. Key highlights, which Travis will cover in more detail shortly, include revenue of $3.2 billion, reflecting normalized growth of 3%, adjusted EBITDA of $263 million, with robust margins of 8.1%, and adjusted diluted earnings per share of $0.54, up 6% year-over-year. This performance is a direct result of our agile business model, disciplined execution, consistent focus on our strategic priorities, and continued demand across our end markets. Let's turn to slide four, where I'll highlight how Amentum's focus on growth translated into a series of strategically significant wins this quarter.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","We delivered $3.3 billion in net bookings, resulting in a first quarter and last 12 months book-to-bill of 1x and 1.1x, respectively. Including strategic joint venture awards, our imputed book-to-bill was 1.3x for the last 12 months. This consistent performance enabled our industry-leading backlog to grow 4%, reaching over $47 billion. At quarter end, we had $23 billion in proposals awaiting award, the majority of which are new business to Amentum, including nearly $2 billion already won and under protest or awaiting corrective action. As I'll discuss in more detail, we continue to make meaningful progress advancing large multi-year opportunities directly aligned with our higher-margin accelerating growth markets, a point evidenced by our consistent book-to-bill performance at or above 1x.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","Our business development engine prioritizes scale, duration, and strategic relevance, grounded in deep customer relationships, shaping solutions, and building long-cycle programs where customers value trusted partners. We are particularly encouraged by our progress in nuclear energy, an accelerating growth market for Amentum, which is showing robust demand signals both overseas and in the United States. Years of technical investment in program execution have led to tangible awards, including nearly $1 billion in the first quarter alone, reinforcing our role as a trusted partner across both existing facilities and new build programs. Leveraging our technical leadership in nuclear energy, Amentum was selected by Rolls-Royce as the global program delivery partner for its small modular reactors, including initial deployments in the U.K. and Czech Republic. Under this partnership, we will apply decades of experience in nuclear engineering and design, systems integration, and program governance.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","Amentum was also awarded a 10-year, $730 million contract by EDF Energy to support new and existing power stations in the UK, reinforcing our role as a trusted partner to one of the world's largest nuclear utilities. In the Netherlands, Amentum secured a five-year, $207 million contract to provide planning and engineering services supporting the future development of up to 2 GW-scale power plants, strengthening our position in Europe's energy transition. Beyond nuclear, we continue to win work that reflects the breadth and diversification of our portfolio across customers, geographies, and contract types. Our capabilities in digital engineering, advanced sustainment, and other mission-critical operations are resonating with customers both domestically and internationally. Award highlights include the U.S. Air Force six-year single award IDIQ, with a ceiling value of up to $995 million for unmanned sustainment, modernization, and training.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
"AMTM","2026-02-09","John Heller","CEO at Amentum","Under this contract, Amentum will deploy specialized solutions and expertise in the U.S. and globally to reinforce readiness and training capabilities. Next, we were awarded DISA's Compute as a Service contract, a five-year, $120 million award to deliver scalable computing power on demand. We're excited to support our customer's mission through this unique outcome-based contract and see it as a potential model for shaping future proposals. Finally, we secured a three-year, $270 million contract from a foreign military customer to provide advanced C5ISR solutions. Our progress this quarter demonstrates consistent execution against our strategy and reinforces our confidence in our ability to continue building a high-quality backlog and delivering durable, long-term growth. Before we dive into our space systems and technologies market, let's turn to slide five to step back and reanchor our discussion in the growth framework we introduced last quarter.","https://www.marketbeat.com/earnings/reports/2026-2-9-amentum-holdings-inc-stock/"
