"symbol","report_date","speaker","title","msg","source_url"
"LW","2024-12-19",NA,NA,"Good day and welcome to the Lamb Weston Q2 fiscal year 2025 earnings call. Today's conference is being recorded. At this time, I'd like to turn the conference over to Dexter Congbalay. Please go ahead.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Dexter Congbalay","Head of Investor Relations at Lamb Weston","Good morning and thank you for joining us for Lamb Weston Q2 2025 earnings call. Earlier today, we issued our earnings press release and posted our slides that we'll use for today's call. You can find both on our website, lambweston.com. Please note that during our remarks, we'll make some forward-looking statements about the company's expected performance that are based on how we see things today. Actual results may differ materially due to risks and uncertainties. Please refer to the cautionary statements and risk factors contained in our SEC filings for more details on our forward-looking statements. Some of today's remarks include non-GAAP financial measures. These non-GAAP financial measures should not be considered a replacement for and should be read together with our GAAP results. You can find the GAAP to non-GAAP reconciliations in our earnings release and the appendix to our presentation.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Dexter Congbalay","Head of Investor Relations at Lamb Weston","With me today are Tom Werner, our President and Chief Executive Officer, and Bernadette Madarieta, our Chief Financial Officer. Let me now turn the call over to Tom.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Tom Werner","President and CEO at Lamb Weston","Thank you Dexter. Good morning and thank you for joining our call today. Let me start with the leadership change we announced earlier today. As you've likely seen, I will be stepping down as CEO, and Mike Smith, our current COO, will become Lamb Weston's next president and CEO beginning January 3rd, 2025. The board and I believe now is the right time to transition to allow a new leader to guide Lamb Weston into its next chapter of growth, and I could not be more thrilled to hand over the reins to Mike. His appointment represents the culmination of a thoughtful, years-long succession planning process by the board, and we are confident he is the right leader to guide Lamb Weston forward.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Tom Werner","President and CEO at Lamb Weston","Over the course of his 17-year career at Lamb Weston, Mike has developed a deep understanding of all critical aspects of our business and operational opportunities and driven growth across multiple areas of the company. I've had the pleasure of working closely with Mike and have witnessed firsthand his value-based leadership style and steadfast focus on people, as well as his thorough understanding of the business. I'm confident that with Mike at the helm, Lamb Weston will drive profit and deliver value for our shareholders. Now, turning to our results, our second quarter performance was below our expectations and not what we aimed to achieve at Lamb Weston. Slide four provides a snapshot of the key themes that we'll be discussing with you today.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Tom Werner","President and CEO at Lamb Weston","We expect a challenging operating environment will persist in the near term as weak restaurant traffic trends and additional capacity expansions announced by our competitors since our investor day last year add to the current imbalance in global industry supply and demand, especially outside North America. In this new reality, we're evaluating opportunities beyond our initial restructuring plan to adjust our operations, including reducing manufacturing and supply chain costs and operating expenses. In addition, we're evaluating opportunities to drive the top line by improving sales execution while also expanding our total addressable market by leveraging proprietary technologies to serve non-traditional fry customers. As we discussed on our last quarter's earnings call, we expect to significantly reduce our capital spending next year as we shift away from growth capital to focus on base, modernization, and environmental capital.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Tom Werner","President and CEO at Lamb Weston","We expect these steps to increase our free cash flow, which would provide more flexibility to step up capital returns to our shareholders. We'll address each of these points during this call. Let me now turn it over to Bernadette to discuss details on our second quarter results.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Bernadette Madarieta","CFO at Lamb Weston","Thanks, Tom, and good morning, everyone. Starting on slide five, you can see that net sales declined 8% compared with the year-ago quarter. Volume declined 6%, primarily driven by declining restaurant traffic in the U.S. and many of our key international markets, customer share losses net of gains, and the carryover impact of our decisions last year to exit certain lower-priced and lower-margin business in EMEA to strategically manage customer and product mix. While the effects of these three factors were largely in line with our expectations, the declines in sales and volume were more than what we anticipated for the quarter as we experienced incremental customer share losses in both business segments due to an increasingly competitive environment. Price mix declined 2% as compared to the prior year quarter, which was just below our target for the period.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Bernadette Madarieta","CFO at Lamb Weston","Our pricing actions in North America were in line with our expectations. However, pricing in our international markets was more competitive. Channel and product mix was also in line with our expectations, but unfavorable versus the prior year quarter, reflecting customer share losses exceeding customer gains. For our North America segment specifically, sales declined 8% versus the prior year quarter. Volume declined 5% and included the carryover impact of smaller and regional customer share losses in food-away-from-home channels in the prior year and share losses in certain chain restaurant accounts. The majority of the decline, however, was due to the drop in restaurant traffic in the U.S. According to restaurant industry data providers, U.S. restaurant traffic in the second quarter declined about 2% versus the prior year, although trends improved modestly versus our fiscal first quarter as QSRs did continue to step up promotional activity.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
"LW","2024-12-19","Bernadette Madarieta","CFO at Lamb Weston","Traffic at QSR chains specializing in hamburgers in the second quarter declined about 1.5% versus the year-ago period. We continue to be encouraged by the improving trend in traffic and the steady fry attachment rate, but as a reminder, many of these promotional meal deals have consumers trading down from a medium serving size to a small French fry serving size. As a result, while we benefit from improving traffic trends, the effect of the trade-down in serving sizes acts as a partial and, with some customers, a significant headwind to our volumes. Price mix in North America declined 3%, reflecting the planned investments that we made to retain and attract volume, as well as unfavorable channel and product mix. For our international segment, sales declined 6% versus the prior year quarter. Volume declined 6%, driven by several factors.","https://www.marketbeat.com/earnings/reports/2024-12-19-lamb-weston-holdings-inc-stock/"
